name	subject	score
kane	ethic	10
drogba	soccer	80
drogba	dance	100
drogba	programming	5
son	ethic	100
hazard	programming	85
kangin	ethic	75
hazard	dance	35
kane	programming	23
karina	ethic	50
hazard	soccer	55
dier	physics	65
chaewon	ethic	98
hazard	ethic	21
kangin	econometrics	35
henry	soccer	36
lampard	philosophy	68
dier	dance	7
hazard	philosophy	58
kane	soccer	26
karina	philosophy	32
karina	econometrics	54
son	soccer	45
kangin	philosophy	68
dier	soccer	98
kangin	soccer	20
dier	philosophy	15
karina	programming	100
chaewon	soccer	23
lampard	soccer	56
henry	dance	87
kangin	dance	56
son	philosophy	98
chaewon	programming	87
drogba	philosophy	88
lampard	programming	5
chaewon	calculus	3
kane	biology	5
henry	politics	7
lampard	biology	9
son	politics	7
son	biology	5
lampard	politics	3
kane	calculus	1
